// all known directories of informat2.pl

// commons.txt

http://informat2.pl/1 (Status: 200) [Size: 1131]
http://informat2.pl/11 (Status: 200) [Size: 931]
http://informat2.pl/3 (Status: 200) [Size: 9533]
http://informat2.pl/4 (Status: 200) [Size: 97]
http://informat2.pl/.htaccess (Status: 403) [Size: 277]
http://informat2.pl/c (Status: 200) [Size: 915]
http://informat2.pl/.htpasswd (Status: 403) [Size: 277]
http://informat2.pl/.hta (Status: 403) [Size: 277]
http://informat2.pl/ee (Status: 200) [Size: 4606]
http://informat2.pl/index.html (Status: 200) [Size: 10701]
http://informat2.pl/r (Status: 200) [Size: 923]
http://informat2.pl/server-status (Status: 403) [Size: 277]
http://informat2.pl/st (Status: 200) [Size: 2052]
http://informat2.pl/test (Status: 200) [Size: 13567]

// 1-3 characters

http://informat2.pl/c (Status: 200) [Size: 915]
http://informat2.pl/ee (Status: 200) [Size: 4606]
http://informat2.pl/egz (Status: 200) [Size: 5837]
http://informat2.pl/hls (Status: 403) [Size: 277]
http://informat2.pl/km (Status: 200) [Size: 981]
http://informat2.pl/k1 (Status: 200) [Size: 1133]
http://informat2.pl/k2 (Status: 200) [Size: 4275]
http://informat2.pl/lk2 (Status: 200) [Size: 2750]
http://informat2.pl/r (Status: 200) [Size: 923]
http://informat2.pl/st (Status: 200) [Size: 2052]
http://informat2.pl/st1 (Status: 200) [Size: 6157]
http://informat2.pl/st2 (Status: 200) [Size: 6157]
http://informat2.pl/up9 (Status: 200) [Size: 0]
http://informat2.pl/utk (Status: 200) [Size: 4158]
http://informat2.pl/zg1 (Status: 200) [Size: 14983]
http://informat2.pl/1 (Status: 200) [Size: 1131]
http://informat2.pl/1ia (Status: 200) [Size: 4208]
http://informat2.pl/1k (Status: 200) [Size: 917]
http://informat2.pl/1p1 (Status: 200) [Size: 1845]
http://informat2.pl/1p2 (Status: 200) [Size: 1133]
http://informat2.pl/1p3 (Status: 200) [Size: 5078]
http://informat2.pl/1t2 (Status: 200) [Size: 6378]
http://informat2.pl/1t1 (Status: 200) [Size: 6682]
http://informat2.pl/11 (Status: 200) [Size: 931]
http://informat2.pl/2p1 (Status: 200) [Size: 1845]
http://informat2.pl/2p3 (Status: 200) [Size: 3875]
http://informat2.pl/2p2 (Status: 200) [Size: 4397]
http://informat2.pl/3 (Status: 200) [Size: 9533]
http://informat2.pl/4 (Status: 200) [Size: 97]
http://informat2.pl/4ia (Status: 200) [Size: 11259]
http://informat2.pl/75 (Status: 200) [Size: 2444]

// 4 characters

http://informat2.pl/ex4b (Status: 200) [Size: 4068]
http://informat2.pl/pk1a (Status: 200) [Size: 927]
http://informat2.pl/pk1b (Status: 200) [Size: 927]
http://informat2.pl/pk1e (Status: 200) [Size: 927]
http://informat2.pl/pk1c (Status: 200) [Size: 927]
http://informat2.pl/pk1d (Status: 200) [Size: 927]
http://informat2.pl/test (Status: 200) [Size: 13567]
http://informat2.pl/zad3 (Status: 200) [Size: 737]
http://informat2.pl/1eb2 (Status: 200) [Size: 5642]
http://informat2.pl/1ec2 (Status: 200) [Size: 5985]
http://informat2.pl/1ec1 (Status: 200) [Size: 6004]
http://informat2.pl/1ta2 (Status: 200) [Size: 737]
http://informat2.pl/2ea1 (Status: 200) [Size: 6345]
http://informat2.pl/2ea2 (Status: 200) [Size: 6123]
http://informat2.pl/2eb2 (Status: 200) [Size: 6376]
http://informat2.pl/2ec1 (Status: 200) [Size: 6676]
http://informat2.pl/2eb1 (Status: 200) [Size: 6307]
http://informat2.pl/3iaz (Status: 200) [Size: 9073]
http://informat2.pl/3ia1 (Status: 200) [Size: 4674]
http://informat2.pl/3ia2 (Status: 200) [Size: 4674]
